英,汉
used,"adj.适应；习惯于；二手的
v.常常；“use”的过去分词和过去式"
year,n.年；年度；年级；年龄
our,"adv.我们的；用于称上帝或圣人
pron.我们的；〈口〉我们家"
girl,n.女孩；女儿；女郎；女友
out,"adv.出去；外出；离开；出于
n.出路；回避的方法；托辞
prep.〈美〉通过(门,窗等)而出；〈美口〉沿着…而去
adj.已公开同性恋身份的
int.〈古〉表示“愤慨”“谴责”等
v.揭露"
living,"n.生活方式；生计；谋生；收入
adj.活着的；活的；在使用的；在实施的
v.“live”的现在分词"
rude,adj.粗鲁的；无礼的；粗野的；猥亵的
space,"n.空间；太空；空格；空白
v.以一定间隔排列"
armor,n.〈美〉同“armour”
god,"n.上帝；天主；真主；（某些宗教中主宰某个领域的）神
v.神化"
interference,n.干涉；干预；介入；（无线电信号的）干扰
mason,"n.石匠；泥瓦匠
v.用石或砖修建"
looking,"v.看；注视；注意；显得
n.样子；相貌；脸色；一瞥"
re,"abbr.(=rare earths)稀土元素；事物
n.【乐】全音阶的长音阶第二音
prep.事由"
acting,"n.（戏剧、电影等中的）表演；演艺业
adj.临时代理的
v.“act”的现在分词"
sustain,v.支持；支撑；遭受；证实
playground,n.操场；游乐场；运动场；娱乐场地
got,v.“get”的过去式和过去分词
sweet,"adj.含糖的；甜的；香的；芳香的
n.糖果；甜点；宝贝儿"
red,"n.红色；红葡萄酒；左翼人士；激进分子
adj.红的；红色的；充血的；布满血丝的"
ass,n.屁股；蠢货；驴子；表示催促
shut,"v.关闭；关上；关门；合上
adj.关闭；关门；停业；合拢
n.关闭；焊接缝；【语】闭锁音；【机】冷塞"
tacs,web.全接入通信系统(Total Access Communication System)；Transient Analysis of Control Systems；可捕量
bleep,"v.发出短促响亮的声音；发哔哔声；打（某人）的传呼机；给（某人）打传呼
n.（电子仪器发出的）短促响亮的声音"
guess,"v.想；猜测；估计；猜到
n.猜测；猜想"
free,"adv.免费；脱离束缚
v.释放；使摆脱；解除（或去除、清除）；使可用（于某目的）
adj.能随自己意愿的；随心所欲的；不受限制的；不受约束的"
small,"adj.（尺寸、数量、程度等）小的；（服装、食品、家庭用品等）小号的
adv.成为小块；小小地
n.后腰；小件衣服（尤指内衣）"
ask,v.问；要求；请；询问
unnamed,adj.未披露姓名的；不知姓名的
care,"n.护理；照顾；小心；照料
v.关心；关怀；在意；关注
abbr.(=Cooperative for American Relief Everywhere)美国援外合作组织"
distract,v.转移（注意力）；分散（思想）；使分心
g,abbr.克；重力；地球引力
launch,"v.发射；发起；发行；使（船，尤指新船）下水
n.（航天器的）发射；（船的）下水；（产品的）上市；（事件的）发起"
steal,"v.偷；窃取；偷偷地（或悄悄地）移动；偷（垒）
n.偷垒"
could,"modalv.可以；用于 can 的过去式；（礼貌地请求别人做事）能
auxv.想；“can”的过去式；用于假设语气的条件句；用于虚拟语气的结论句"
script,"n.剧本；电影剧本；笔迹；广播（或讲话等）稿
v.为电影（或戏剧等）写剧本"
put,"v.放；说；安置；安装
n.推；投；戳；一扔的距离
adj.〈美口〉固定的"
terrible,"adv.很
adj.非常讨厌的；令人极不快的；可怕的；危害极大的
n.可怕的人[东西]"
timer,n.计时器；定时器；时计；跑表
keep,"v.（使）保持；继续；使耽搁；使延误
n.生活必需品；生活费用；城堡主楼"
thing,n.东西；事物；事件；行为
place,"n.地方；位置；地点；场所
v.安置；安放；认出；使（人）处于某位置"
w,abbr.英语字母表第二十三个字母；W 字形物；【化】元素钨  的符号
consequence,n.后果；结果；重要性
turd,n.粪块；粪球；粪团；臭狗屎（对不喜欢的人的冒犯语）
think,"v.认为；以为；想；思考
n.想法；念头；〈方,口〉思考
adj.思想(方面)的；供思考的"
first,"adv.第一；最重要的；首要的；最优秀的
n.第一个人（或事物）；空前的成就；前所未有的事情；最低挡"
flying,"n.飞行；(乘)坐飞机；指驾驶飞机
adj.快速的；会飞的；飞行中的；跃起的
v.fly的现在分词"
saving,"n.节约；节省；存款；节省物
adj.可取的；保存的；节俭的；补偿的
prep.除…以外
v.“save”的现在分词"
spoken,"adj.口头讲的；口语的；口头…的
v.“speak”的过去分词"
question,"n.问题；疑问；怀疑；议题
v.问；怀疑；质询；正式提问"
number,"n.数；数量；号；数字
v.标号；给…编号；总计；共计"
reaches,"v.达到；到达；收到；走到
n.(手脚)能够到的范围；(可及的)范围；领域；(影响的)范围"
one,"num.一；同一个
n.一个人；一体；独一；一岁
pron.人们；用来避免重复已提过的或是听者已知的事物的名称
adj.某(一个人)；一致的；同一的；不变的"
feet,"n.脚(=12英寸,1/3码,0.3048米)英尺；脚步
v.付(款)；踏在…上；跳(舞)；给(袜子等)换底"
done,"int.好
adj.疲倦；已完成的；精疲力尽的；烧熟了的〔通例用作复合词〕
adv.〔美俚〕已经"
bitch,"n.母狗；泼妇；讨厌的女人；棘手的事
v.挖苦；（尤指背后）说坏话"
another,"adj.别的；又一；类似的
adv.又一；再一；另一（事物或人）；不同的（人或事物）
pron.另一件东西；别的东西；那样的人[东西]"
gasp,"v.喘息；透不过气；气喘吁吁地说；很想要（尤指饮料或香烟）
n.喘息"
blane,web.碧兰伊眼部护理；布林
size,"n.大小；号；尺码；浆料
v.上浆；标定…的大小；确定…的尺寸；改变…的大小"
city,n.城市；都市；（由国王或女王授予特权，通常有大教堂的）特许市
little,"n.小；一点点；利特尔
adv.一点；一些；少量；少许
adj.小的；比较小的"
long,"n.朗；(服装的)长尺寸；长裤；【语】长母音
adj.（长度或距离）长的；（询问或谈论长度或距离）长；长时间的；长久的
adv.长期地；长久地；（在某一时间或事件之前或以后）很久地
v.（尤指对看似不会很快发生的事）渴望"
heads,"n.头；首脑；头脑；〈口〉脑袋
v.率领；牵头；妨碍；反抗
adj.头部的；主要的"
keypad,n.（用于操作电话、电视等的）小键盘；（电话）按键
workbench,n.工作台
start,"v.开始；启动；出发；发动
n.开始；起点；开端；开头
abbr.(=Strategic Arms Reduction Talks)战略武器削减谈判"
festival,"n.节；节日；节期；喜庆日
adj.节日的"
top,"n.顶；顶部；顶端；上面
v.胜过；超过（某一数量）；居…之首；为…之冠
adj.（位置、级别或程度）最高的；很好的；极棒的；顶呱呱的"
chopping,"v.砍；劈；切碎；剁碎
n.砍；劈；剁；猪（或羊等）排"
anyone,pron.（用于否定句、疑问句，也用于 if 或 whether 之后，或紧接 prevent、forbid、avoid 等动词，代替 someone）任何人
their,"adv.他们的；她们的；它们的；在提及性别不详的人时
det.代指之前已经提到的或指向非常明显的一群人或事物的"
ton,n.吨（英国为 2 240 磅，即长吨；美国为 2 000 磅，即短吨）
too,adv.也；过于；非常；很
hundred,"num.一百；许多；大量；100 到 999 间的数目
n.数以百计；许多；〈美〉一百元；一百岁
adj.很多"
tourists,n.游客；漫游者；〈美〉冬季到南部做工的流动工人
store,"n.商店；店铺；仓库；（大型）百货商店
v.保存；贮藏；贮存；（在计算机里）存储
adj.贮存的；储备的；〈美〉现成的；畜产的"
gives,"v.给；送给；让步；交给
n.弹性；伸展性"
eyes,"n.眼睛；眼光；眼力；视力；目；注目；视力；观察力；眼睛；注目；视觉；眼光
v.观看；偷看；注视；在…打眼；观看；偷看；盯着看；在…打眼；注视；审视；细看"
murder,"v.谋杀；凶杀；糟蹋；毁坏
n.谋杀；凶杀；困难的事；讨厌的事"
stomach,"n.胃；腹部
v.欣赏；欣然接受；喜欢和…相处；能吃"
lot,"adv.非常；许多；大量；（与动词连用）非常
n.批；命运；全部；全体
pron.许多；大量
v.抽签；划分(土地等)；分批；分堆(出售商品)"
that,"adj.那；那个；那样的
pron.那个；那些；（指已提到过或已知的人或事物）那；引导从句
adv.那个；那么；（指已提到过或已知的人或事物）那；不很
conj.引出从句；（表示结果）如此…以致；（表示希望或愿望）多么"
shelf,n.陆架；搁板；陆棚；（悬崖上或海底）突出的岩石
exactly,adv.到底；确切地；准确地；精确地
screwing,"v.拧；用螺丝拧紧[钉紧]；【台】拧(球)；【网】搓(球)
n.螺旋；螺钉；转；螺旋桨"
took,v.take(拿、占有)的过去式
part,"n.部分；部件；参加；零件
v.分离；分开；分别；离开
adv.由两部分构成；在一定程度上；部分地
adj.部分的"
grandpa,n.爷爷；外公；（外）祖父；姥爷
stairs,n.楼梯；(梯子的)一级
than,"conj.比；除…(以外)；(刚刚…)就；与其…(毋宁,宁愿,不如,索性)
prep.小于；（用以引出比较的第二部分）比；（表示一事紧跟另一事发生）就"
boyfriend,n.男朋友
begins,v.开始；动手；始于；创始
kind,"n.种类；同类的人（或事物）
adj.体贴的；慈祥的；友好的；宽容的"
squeaky,adj.发短促尖叫声的；吱吱叫的；嘎吱作响的
target,"n.目标；靶；指标；对象
v.面向；把…作为攻击目标；把…作为批评的对象"
aah,int.啊；满足或惊讶等感情
spaceship,n.宇宙飞船
protected,v.“protect”的过去式和过去分词
friend,"n.朋友；友人；赞助者；支持者
v.〈诗〉与…为友"
were,short.we are
sister,"n.姐；妹；护士长；（称志同道合者）姐妹
adj.姐妹的；同类(型)的
v.如姐妹般相待"
indistinct,adj.模糊不清的；不清楚的
bet,"n.打赌；赌注；预计；估计
v.下赌注（于）；用…打赌；敢说；八成儿"
priority,n.优先；优先权；重点；优先事项
and,"conj.与；和；而；又
n.附加条件；附加细节"
mind,"v.介意；注意；当心；听从
n.头脑；心思；大脑；智慧"
tonight,"n.今晚；今夜
adv.在今夜；在今晚"
say,"v.说；告诉；讲；表达
n.发言权；决定权
int.啧啧；我说"
decapitated,v.把…斩首；免…的职
socio,web.社会；社会艺术；社会的
sundown,n.主要用于美式英语
have,"v.有；吃；让；得到
n.〈口〉有产者；(天然资源多的)富国；诈骗
auxv.与过去分词连用构成完成时"
need,"n.需要；必须；特别需要；迫切要求
v.需要；必需；（表示应该或不得不做）有必要
auxv.必须；She need not go. 这句话
modalv.（表示没有必要或询问是否有必要）需要"
douchebags,web.笨蛋；脑残；混蛋
breakfast,"n.早餐；早饭
v.吃早饭；用早餐"
any,"adj.任何；什么；一个；一般的
adv.丝毫；任一的；（与单数可数名词连用）任一；非一般的
pron.任一"
alive,adj.在世；意识到；活着；情绪饱满
sat,"n.美国学术能力评估测验
v.“sit”的过去式和过去分词"
screw,"n.螺丝；螺丝钉；（对螺丝的）旋拧；性交
v.用螺丝固定（或拧牢）；旋紧；拧紧；拧上去"
afraid,adj.害怕；担心；担心（会发生某事）
dancing,"n.跳舞；舞蹈
v.“dance”的现在分词"
convenient,adj.实用的；便利的；方便的；省事的
able,adj.会；有为；〔接不定式〕能；有才能的
note,"v.注意；指出；留意；特别提到
n.笔记；注释；记录；便条
abbr.(=noe of the above)把选票上的名字全勾掉"
also,"adv.也；同样；此外；而且
conj.同“also beautiful”"
sh,int.（用以让别人安静）嘘
take,"v.拿；需要；接受；吃
n.镜头；收入额；进项；看法"
which,pron.哪个；那；哪一个；…的那些
online,"adj.联机的；在线的；生产中
adv.在网上地；在线地"
wanting,"adj.缺乏；不足；缺少；欠缺
prep.缺
v.“want”的现在分词"
asshole,n.〈侮辱〉混蛋；〈俗〉肛门
subject,"n.学科；主题；问题；话题
adj.取决于；可能受…影响的；易遭受…的；视…而定
v.使臣服；使顺从；（尤指）压服"
dragged,v. 制动；拖动；打滑；松懈
even,"adv.即使；还；其实
adj.平滑的；平的；平坦的；（数量、速度等）变化不大的
v.使平均；使相等；把…弄平坦；变平坦
n.黄昏"
begin,v.开始；启动；起始；开始存在（或进行）
sure,"adj.肯定；一定；确信；必定
adv.的确；（表示同意）当然；应该的"
track,"v.跟踪；追踪；（尤指用特殊电子设备）跟踪；跟踪（进展情况）
n.轨道；车辙；小径；路线"
huh,int.用于问题、建议等之后；表示愤怒、惊奇、异议等；表示没有听清楚
who,"pron.（询问姓名、身份或职务）谁；表示所指的人
abbr.(=World Health Organization)世界卫生组织(联合国)
n.【组】世界卫生组织"
yawn,"v.打哈欠；非常宽；难以逾越
n.呵欠；无聊的人或事；无趣的想法"
regular,"n.常客；老主顾；主力（或正式）队员；（电视节目的）老主持人
adj.规则的；有规律的；间隙均匀的；定时的
adv.经常地；完全"
plan,"n.计划；方案；打算；平面图
v.计划；打算；设计；策划"
plenty,"adv.很多；大量；十分；非常
pron.大量；充足；众多
n.充裕；富裕
adj.足够的；很多的"
nothing,"pron.没有什么；没有一件东西；无关紧要的东西；毫无趣味的事
n.无；没有什么东西[什么事]；不存在(的东西)；【数】零
adv.毫不；〈美口〉决不是"
